5g2oxpt	oxoarg__L
zcarote	zcaro
gcarote	gcaro
so3	hso3
phllqne	phyQ
slnt	selt
5cmhm	5cm2hmu
4h2opntn	4h2oxov
frmd	foam
Ncbmpts	cbmp
cholphya	chla
omppp9	omppp9me
cmpacna	cmp_nate
fdxo_42	fdxo_4_2
fdxr_42	fdxr_4_2
udcpo4	udcdpgalrmnmanabe
2ohed	2oh3d
pcrd	pccu1p
pcox	pccu2p
stys	stc
4cml	2c25dho
bcryptox	bcrptxan
5cmhmsa	2h5cmmusa
2p4c2me	pcdme
fdxrd	fdxr_2_2
2ameph	AEP
applp	appp
guln__L	guln
copre4	codscl4
scys__L	slcys
gtocophe	yvite
hpglu	thglu
mhpglu	5mthglu
coucoa	4cmcoa
codhpre6	codscl6b
avite1	atocophe
mtpp	3mtpa
ptcys	4pcys
op4en	chpd
2m6phol	mpq
cph4	6ctd
phenol	phen
salcn6p	salc6p
5cohe	5c2o3ed
echin	echn
zeax	zaxan
hkmpp	2h3kmtp
23dmphol	dmpq
lycop	lyc
bvite	btocophe
hemeA	hemeA_1
dptne	dplpt
quin	quin_kt
copre6	codscl6a
copre2	codscl2
colipa	colipaA
dhmtp	12dmpo
dtocophe	dvite
3ohodcoa	3oodcoa
ckdo	cmpkdo
hphhlipa	hphhlipaA
forcoa	formcoa
focytc	focytb
hmppp9	hmppp9me
caro	bcarote
chlld	chlda
dscl	pre2
urcan	urocan
phdp	pdp
4izp	4iz5pp
copre3	codscl3
cobya	cobn
tag__D	tagat__D
cysi__L	Lcystin
mmtsa	mmsa
neuspn	norsp
Glc_aD	glc_A
glc__bD	glc_bD	glc_B
glc__aD	Glc_aD	glc_A
